"Ár","Alþýðubandalag","Alþýðufl. og Samtök frjálsl. og vinstri m.","Alþýðuflokkur","Alþýðuflokkur og Kommúnistaflokkur","Besti flokkurinn","Flokkur mannsins","Flokkur þjóðernissinna","Framboð um heiðarleika og almannahagsmuni","Framsóknarflokkur","Framsóknarflokkur og Samtök um kvennalista","Frjálslyndi flokkurinn ","Frjálslyndir og óháðir","Grænt framboð","Húmanistar","Höfuðborgarsamtökin","Kommúnistaflokkur","Kvennaframboð, ?listi","Launalisti","Nýr vettvangur","Óháðir bindindismenn","Reykjavíkurframboðið","Samfylkingin","Samtök frjálslyndra & vinstri manna","Sjálfstæðisflokkur","Sósíalistafélag Reykjavíkur","Sósíalistaflokkur","Vinstri hægri snú","Vinstrihreyfingin - grænt framboð","Þjóðvarnarflokkur"
"1930",,,34.5,,,,,,12,,,,,,,,,,,,,,,53.5,,,,,
"1934",,,32.7,,,,2.8,,7.1,,,,,,,8,,,,,,,,49.3,,,,,
"1938",,,,35.8,,,1.5,,8,,,,,,,,,,,,,,,54.7,,,,,
"1942",,,22,,,,,,5.6,,,,,,,,,,,,,,,48.7,,23.8,,,
"1946",,,16.2,,,,,,6.6,,,,,,,,,,,,,,,48.6,,28.5,,,
"1950",,,14.3,,,,,,8.4,,,,,,,,,,,,,,,50.8,,26.5,,,
"1954",,,13.5,,,,,,7.3,,,,,,,,,,,,,,,49.5,,19.3,,,10.3
"1958",19.3,,8.2,,,,,,9.4,,,,,,,,,,,,,,,57.7,,,,,5.3
"1962",16.8,,10.9,,,,,,12.9,,,,,,,,,,,2.5,,,,52.8,,,,,4
"1966",19.7,,14.6,,,,,,17.2,,,,,,,,,,,,,,,48.5,,,,,
"1970",16.4,,10.5,,,,,,17.2,,,,,,,,,,,,,,7.1,47.7,1,,,,
"1974",18.2,6.5,,,,,,,16.4,,1.2,,,,,,,,,,,,,57.8,,,,,
"1978",29.8,,13.4,,,,,,9.4,,,,,,,,,,,,,,,47.4,,,,,
"1982",19,,8,,,,,,9.5,,,,,,,,10.9,,,,,,,52.5,,,,,
"1986",20.3,,10,,,2,,,7,,,,,,,,8.1,,,,,,,52.7,,,,,
"1990",8.4,,,,,1.1,,,8.3,,,,1,,,,6,,14.8,,,,,60.4,,,,,
"1994",,,,,,,,,,53,,,,,,,,,,,,,,47,,,,,
"1998",,,,,,,,,,53.6,,,,0.6,,,,0.6,,,,,,45.2,,,,,
"2002",,,,,,,,,,52.6,,6.1,,0.2,0.6,,,,,,,,,40.2,,,0.4,,
"2006",,,,,,,,,6.3,,,10.1,,,,,,,,,,27.4,,42.9,,,,13.5,
"2010",,,,,34.7,,,1.1,2.7,,,0.5,,,,,,,,,1.1,19.1,,33.6,,,,7.1,

Úrslit borgarstjórnakosninga í Reykjavík 1930-2010

